1.1420342e+00,9.5564560e+00,-1.4353240e+00,7.9023620e-01,9.6398040e+00,-1.6181811e+00,-1.0719223e-02,-9.5241300e-02,2.2670160e-02,3.5179800e-01,-8.3348150e-02,1.8285716e-01,3.6249250e+01,1.2037029e+01,-2.4933094e+01,4.8806313e-01,5.8676580e-01,5.2885780e-01,3.7122730e-01
1.2820950e+00,9.1745810e+00,-1.4616601e+00,8.5847100e-01,9.6375600e+00,-1.5967829e+00,-7.0374034e-02,-4.5210487e-01,4.6105977e-02,4.2362407e-01,-4.6297875e-01,1.3512276e-01,3.5796524e+01,1.2382773e+01,-2.4785418e+01,4.9831775e-01,5.7713866e-01,5.2529067e-01,3.7770376e-01
1.1815386e+00,8.3354130e+00,-1.4401124e+00,8.9169050e-01,9.6597060e+00,-1.4371196e+00,-4.5706502e-01,-7.3120415e-01,-3.0593064e-02,2.8984803e-01,-1.3242928e+00,-2.9927520e-03,3.7349470e+01,1.2932876e+01,-2.5478700e+01,5.1375310e-01,5.5617090e-01,5.1856810e-01,3.9726412e-01
2.0219033e+00,1.0273520e+01,-9.1219085e-01,7.3038113e-01,9.7271930e+00,-1.0088568e+00,-6.9035790e-01,-1.0294782e+00,-5.4831160e-01,1.2915221e+00,5.4632690e-01,9.6665900e-02,3.7931248e+01,1.1320368e+01,-2.9015402e+01,5.2442300e-01,5.2574820e-01,5.0827270e-01,4.3615156e-01
5.9974754e-01,1.0171766e+01,-1.1228806e+00,6.2713120e-01,9.7560730e+00,-7.7168113e-01,-2.9407957e-01,-1.1168299e+00,-6.1485730e-02,-2.7383681e-02,4.1569328e-01,-3.5119945e-01,3.9147438e+01,1.2040278e+01,-3.0903067e+01,5.4345550e-01,4.9396256e-01,4.8779267e-01,4.7192750e-01
1.4604631e-01,9.8473520e+00,-1.2401965e+00,4.6043490e-01,9.7731310e+00,-6.6483986e-01,-1.6092151e-01,-1.2457268e+00,-1.3548832e-02,-3.1438860e-01,7.4220255e-02,-5.7535660e-01,3.8156292e+01,1.2031576e+01,-3.5421314e+01,5.6554320e-01,4.6266140e-01,4.5668602e-01,5.0748720e-01
-1.9153613e-01,9.7503860e+00,-1.2425907e+00,4.3903673e-01,9.7734310e+00,-6.7531455e-01,-1.4600780e-01,-1.0539793e+00,1.5263242e-01,-6.3057286e-01,-2.3044191e-02,-5.6727620e-01,3.8295990e+01,1.2227549e+01,-3.8691520e+01,5.9119326e-01,4.3001910e-01,4.2572930e-01,5.3322490e-01
7.7811554e-02,9.5193460e+00,-1.4903905e+00,4.1419690e-01,9.7690910e+00,-7.4953480e-01,4.1478734e-02,-7.1522520e-01,1.5156716e-01,-3.3638534e-01,-2.4974516e-01,-7.4085580e-01,3.6844513e+01,1.0448165e+01,-4.3723816e+01,6.0636310e-01,4.1296238e-01,4.0597057e-01,5.4495290e-01
2.7054480e-01,9.1554270e+00,-1.4891934e+00,4.8811787e-01,9.7521820e+00,-9.0844990e-01,7.4501930e-02,-5.3626080e-01,9.8303940e-02,-2.1757308e-01,-5.9675480e-01,-5.8074355e-01,3.5710575e+01,1.0006283e+01,-4.7279045e+01,6.2459680e-01,3.9520994e-01,3.8816020e-01,5.5047240e-01
3.8905780e-01,9.7827080e+00,-1.5502456e+00,4.2527008e-01,9.7397620e+00,-1.0601825e+00,6.5979816e-02,-3.3386052e-01,-5.0833087e-02,-3.6212300e-02,4.2945992e-02,-4.9006316e-01,3.5344223e+01,9.6105880e+00,-4.8225410e+01,6.3591560e-01,3.8685837e-01,3.7163484e-01,5.5483290e-01
